ALMCOD,MEDCOD,STKSALDO,STKPRECIO,STKFECHULT,FLG_SOCKET
06162F0101,33937,2,35.0,2024-06-28 13:47:25.999000,1
06162F0101,19491,187,3.7,2024-12-11 15:20:18.999000,1
06162F0101,44390,971,0.9,2024-12-30 08:18:54,1
06162F0101,21583,10,25.0,2024-12-18 12:57:20,1
06162F0101,37403,128,14.0,2024-12-28 13:17:21,1
06162F0101,36872,0,55.0,2024-10-25 15:10:30,1
06162F0101,29945,3,1.3,2024-11-02 09:53:16,1
06162F0101,32760,1,97.8,2024-08-29 12:50:41,1
06162F0101,10278,4,110.0,2024-09-13 14:50:19,1
06162F0101,35515,200,0.6,2024-11-30 13:21:40,1
06162F0101,39083,140,0.32,2024-09-19 09:54:23.999000,1
06162F0101,22187,10,13.5,2024-09-19 09:55:29,1
06162F0101,00111,2,27.895,2024-12-02 17:24:55.999000,1
06162F0101,03920,100,0.95,2024-11-18 16:04:44,1
06162F0101,16767,2,3.3,2024-11-30 13:15:52,1
06162F0101,00200,600,0.023,2024-12-18 12:57:20,1
06162F0101,01243,700,0.078071,2024-12-18 12:52:22,
